[[0.0, 0.0, 0.0, 0.0], [50, 50]]
[[0.0, 0.04, 0.025, 0.005], [57, 42]]
[[0.025, 0.03, 0.02, 0.025], [54, 44]]
[[0.0, 0.045, 0.03, 0.005], [56, 43]]
[[0.02, 0.03, 0.01, 0.03], [55, 44]]
[[0.025, 0.015, 0.025, 0.02], [47, 52]]
[[0.045, 0.01, 0.01, 0.02], [64, 35]]
[[0.025, 0.02, 0.03, 0.01], [52, 47]]
[[0.085, 0.01, 0.025, 0.045], [57, 42]]
[[0.11, 0.0, 0.05, 0.025], [59, 40]]
[[0.18, 0.005, 0.03, 0.01], [82, 17]]
[[0.14, 0.02, 0.035, 0.025], [72, 27]]
[[0.15, 0.01, 0.055, 0.03], [65, 34]]
[[0.07, 0.075, 0.075, 0.01], [63, 36]]
[[0.045, 0.12, 0.065, 0.025], [64, 35]]
[[0.035, 0.17, 0.075, 0.025], [67, 32]]
[[0.035, 0.19, 0.1, 0.03], [63, 36]]
[[0.085, 0.175, 0.09, 0.045], [65, 34]]
[[0.105, 0.165, 0.125, 0.06], [59, 40]]
[[0.125, 0.175, 0.145, 0.09], [56, 43]]
[[0.145, 0.165, 0.155, 0.11], [53, 46]]
[[0.135, 0.125, 0.145, 0.135], [48, 51]]
[[0.14, 0.145, 0.12, 0.135], [52, 47]]
[[0.15, 0.11, 0.11, 0.17], [48, 51]]
[[0.0, 0.0, 0.0, 0.0], [50, 50]]
[[0.005, 0.03, 0.02, 0.01], [53, 46]]
[[0.015, 0.025, 0.005, 0.025], [57, 42]]
[[0.005, 0.065, 0.025, 0.01], [66, 33]]
[[0.015, 0.07, 0.005, 0.015], [80, 19]]
[[0.01, 0.105, 0.04, 0.005], [71, 28]]
[[0.03, 0.115, 0.05, 0.01], [70, 29]]
[[0.04, 0.14, 0.04, 0.01], [78, 21]]
[[0.035, 0.14, 0.045, 0.02], [72, 27]]
[[0.015, 0.14, 0.05, 0.01], [72, 27]]
[[0.025, 0.11, 0.07, 0.0], [65, 34]]
[[0.035, 0.07, 0.06, 0.02], [56, 43]]
[[0.105, 0.08, 0.07, 0.03], [64, 35]]
[[0.12, 0.165, 0.08, 0.09], [62, 37]]
[[0.125, 0.165, 0.105, 0.11], [57, 42]]
[[0.135, 0.155, 0.115, 0.13], [54, 45]]
[[0.155, 0.125, 0.13, 0.15], [50, 50]]
[[0.165, 0.135, 0.165, 0.16], [48, 52]]
[[0.15, 0.18, 0.195, 0.19], [46, 53]]
[[0.125, 0.13, 0.13, 0.195], [43, 56]]
[[0.175, 0.16, 0.15, 0.195], [49, 50]]
[[0.17, 0.165, 0.175, 0.19], [47, 52]]
[[0.155, 0.125, 0.14, 0.19], [45, 54]]
[[0.185, 0.195, 0.175, 0.18], [51, 48]]
[[0.0, 0.0, 0.0, 0.0], [50, 50]]
[[0.01, 0.005, 0.04, 0.005], [25, 75]]
[[0.08, 0.01, 0.005, 0.045], [64, 35]]
[[0.05, 0.045, 0.04, 0.015], [63, 36]]
[[0.08, 0.035, 0.025, 0.03], [67, 32]]
[[0.02, 0.025, 0.03, 0.01], [52, 47]]
[[0.065, 0.0, 0.01, 0.005], [81, 18]]
[[0.015, 0.005, 0.05, 0.005], [26, 73]]
[[0.055, 0.01, 0.01, 0.015], [72, 27]]
[[0.01, 0.03, 0.03, 0.01], [50, 50]]
[[0.05, 0.025, 0.01, 0.015], [75, 25]]
[[0.0, 0.09, 0.045, 0.015], [60, 40]]
[[0.035, 0.09, 0.04, 0.02], [67, 32]]
[[0.045, 0.09, 0.045, 0.005], [72, 27]]
[[0.075, 0.09, 0.06, 0.01], [70, 29]]
[[0.075, 0.105, 0.04, 0.015], [76, 23]]
[[0.06, 0.105, 0.075, 0.005], [67, 32]]
[[0.08, 0.075, 0.065, 0.025], [63, 36]]
[[0.135, 0.065, 0.085, 0.04], [61, 38]]
[[0.15, 0.045, 0.14, 0.045], [51, 48]]
[[0.105, 0.045, 0.125, 0.035], [48, 51]]
[[0.115, 0.005, 0.145, 0.02], [42, 57]]
[[0.1, 0.015, 0.145, 0.02], [41, 58]]
[[0.12, 0.0, 0.15, 0.035], [39, 60]]
[[0.0, 0.0, 0.0, 0.0], [50, 50]]
[[0.015, 0.0, 0.015, 0.015], [33, 66]]
[[0.06, 0.01, 0.005, 0.015], [77, 22]]
[[0.005, 0.01, 0.01, 0.005], [50, 50]]
[[0.05, 0.01, 0.01, 0.01], [75, 25]]
[[0.01, 0.065, 0.02, 0.005], [74, 25]]
[[0.01, 0.06, 0.045, 0.015], [53, 46]]
[[0.005, 0.07, 0.025, 0.04], [53, 46]]
[[0.025, 0.11, 0.01, 0.015], [84, 15]]
