train loss:1.2240006575981777,evaluation loss:0.5043955306212108
train loss:0.18521831122537455,evaluation loss:0.10619529659549395
train loss:0.0752075898150603,evaluation loss:0.05506456382572651
train loss:0.04351348733374228,evaluation loss:0.041837937633196515
train loss:0.034028872304285564,evaluation loss:0.032218427397310734
train loss:0.02708518842700869,evaluation loss:0.02596794320270419
train loss:0.02184759470789383,evaluation loss:0.022095758033295474
train loss:0.01729375891542683,evaluation loss:0.01583229103125632
train loss:0.012776710884645581,evaluation loss:0.01242684378909568
train loss:0.00996910424825425,evaluation loss:0.00972579326480627
train loss:0.0071376635760922605,evaluation loss:0.006314710550941527
train loss:0.005189980610157363,evaluation loss:0.004914920478283117
train loss:0.004195239104835006,evaluation loss:0.0048876185591022175
train loss:0.003531033896918719,evaluation loss:0.003520604867177705
train loss:0.0031316791942420726,evaluation loss:0.0030185268027707935
train loss:0.0026583787257550284,evaluation loss:0.0033921884411635497
train loss:0.002440598093380686,evaluation loss:0.0028482467789823812
train loss:0.0023391636083639846,evaluation loss:0.0021601250938450296
train loss:0.002140192077301132,evaluation loss:0.0019545172108337283
train loss:0.0019139497831929474,evaluation loss:0.002382095957485338
train loss:0.0019460372030152939,evaluation loss:0.0019495292159263044
train loss:0.00172557346134757,evaluation loss:0.001535106060327962
train loss:0.0015469754243288966,evaluation loss:0.0015253867294328907
train loss:0.0014576559913014838,evaluation loss:0.0016442721767816692
train loss:0.0014935025084317508,evaluation loss:0.0014646171922019372
train loss:0.0013531013008711548,evaluation loss:0.0012927952523265655
train loss:0.0013214543660675796,evaluation loss:0.0012440766809352984
train loss:0.0011715284209155167,evaluation loss:0.0012862547281353423
train loss:0.001112231332808733,evaluation loss:0.0010554098883100475
train loss:0.0011812470123307623,evaluation loss:0.0010751316440291703
train loss:0.0011033594210554535,evaluation loss:0.0010230244350774834
train loss:0.0012005238204437774,evaluation loss:0.0008959345752373338
train loss:0.0010987842618002711,evaluation loss:0.0009909528288214156
train loss:0.0009519568484392948,evaluation loss:0.0008665395008089642
train loss:0.0009091883451522639,evaluation loss:0.0008724502093779544
train loss:0.0008921467648178805,evaluation loss:0.0007525485115669046
train loss:0.0008951964414639709,evaluation loss:0.0007368841664477562
train loss:0.0009291543501603883,evaluation loss:0.0008364665341408302
train loss:0.0012350603050435894,evaluation loss:0.0007579025550512597
train loss:0.0008718034720610982,evaluation loss:0.0011575009208172559
train loss:0.0008194062082717816,evaluation loss:0.0007561078547344853
train loss:0.0008789825236211376,evaluation loss:0.0008142104352979611
train loss:0.0007324622234591516,evaluation loss:0.0007042115942264596
train loss:0.000929592921359775,evaluation loss:0.0007005644224894543
train loss:0.0007035921703694233,evaluation loss:0.0009930761763826013
train loss:0.0009728933083048712,evaluation loss:0.0006857361207948997
train loss:0.0008046859911701176,evaluation loss:0.0022011739279453953
train loss:0.0007950221654027701,evaluation loss:0.0005629619137228777
train loss:0.0007280521247594151,evaluation loss:0.0006695923279039562
train loss:0.0006405084127133402,evaluation loss:0.0006595203284329424
train loss:0.0007385509234154597,evaluation loss:0.0006648685598823552
train loss:0.0006375805952605636,evaluation loss:0.0009891308640362696
train loss:0.0006355585195706226,evaluation loss:0.0006360166046457986
train loss:0.0006811824522931904,evaluation loss:0.0008968257907933246
train loss:0.0007084437823020077,evaluation loss:0.000565971130466399
train loss:0.0007796037233977889,evaluation loss:0.0006947141072790448
train loss:0.0010400463358867758,evaluation loss:0.0011637600546237081
train loss:0.0006097357610997279,evaluation loss:0.0006476814674291139
train loss:0.000734568133339053,evaluation loss:0.0005756459780968725
train loss:0.0007605996477650478,evaluation loss:0.0008542791144767155
train loss:0.0005940814296385118,evaluation loss:0.0004960652314669763
train loss:0.000642408252315363,evaluation loss:0.0008022098055031772
train loss:0.0008039186977839563,evaluation loss:0.0007150017869813988
train loss:0.0008042864501476288,evaluation loss:0.00045849116480288407
train loss:0.0005999378236689761,evaluation loss:0.00047446353419218213
train loss:0.0004962532511854079,evaluation loss:0.0005885731487069279
train loss:0.0005287828478079367,evaluation loss:0.0005387263120307277
train loss:0.0009031683124097375,evaluation loss:0.0005352591950213536
train loss:0.0005548977913955847,evaluation loss:0.0004421960940817371
train loss:0.0005220815105227909,evaluation loss:0.0004746873319769899
train loss:0.0005302804177820993,evaluation loss:0.0010268427683816602
train loss:0.0005964643925835845,evaluation loss:0.00062099230029465
train loss:0.0008014985816165184,evaluation loss:0.0006082582597931226
train loss:0.0005921969013191604,evaluation loss:0.0006354165137357389
train loss:0.0005130790321951887,evaluation loss:0.000512861181050539
train loss:0.0005545307421319497,evaluation loss:0.00043487941341785095
train loss:0.0008892810479058729,evaluation loss:0.0005419340091369425
train loss:0.0006611415088021507,evaluation loss:0.0005108115292387083
train loss:0.0013503865394644285,evaluation loss:0.0004984760666654135
train loss:0.0004908310375564422,evaluation loss:0.0011665072680140534
train loss:0.0006664725752974239,evaluation loss:0.00041468493776240697
train loss:0.0005725226612412371,evaluation loss:0.0004324783047195524
train loss:0.0004720324208998742,evaluation loss:0.00044368067659282436
train loss:0.0007144822746340651,evaluation loss:0.001157979554651926
train loss:0.0006787083328769465,evaluation loss:0.001014293033707266
train loss:0.0005455813886025377,evaluation loss:0.0004133860590324427
train loss:0.0010766383145285848,evaluation loss:0.0008050404498741652
train loss:0.0004915844957092001,evaluation loss:0.0006038478284608572
train loss:0.0006057239123038016,evaluation loss:0.000465295507456176
train loss:0.0004645242631037642,evaluation loss:0.00041081650997512045
train loss:0.0005220512943196809,evaluation loss:0.0004028575038925434
